34.4,26.33,23.8
34.4,26.33,23.78
34.3,26.33,23.78
38,26.33,23.8
46.7,26.35,23.83
54.8,26.35,23.81
59.4,26.37,23.81
64.3,26.37,23.8
69,26.38,23.81
67.7,26.38,23.78
59.7,26.4,23.76
52.2,26.4,23.8
52.2,26.4,23.8
52.2,26.4,23.8
52.2,26.4,23.8
41,26.4,23.84
39.4,26.4,23.77
38.8,26.4,23.81
38.7,26.4,23.83
39,26.38,23.77
39.3,26.38,23.81
39.4,26.4,23.8
39.4,26.38,23.81
39.4,26.4,23.8
39.4,26.37,23.77
39.3,26.4,23.78
39.2,26.38,23.8
39,26.4,23.8
38.8,26.4,23.83
38.6,26.4,23.83
38.4,26.38,23.84
38.1,26.41,23.83
37.8,26.4,23.77
37.5,26.4,23.77
37.4,26.38,23.78
37.3,26.4,23.8
37.1,26.41,23.8
37,26.4,23.76
36.8,26.38,23.78
36.4,26.41,23.78
36.2,26.4,23.81
36,26.38,23.78
35.7,26.4,23.81
35.5,26.41,23.8
35.2,26.4,23.76
35,26.4,23.81
34.9,26.4,23.8
34.6,26.4,23.8
34.5,26.41,23.76
34.4,26.37,23.78
34.3,26.38,23.78
34.3,26.38,23.8
34.3,26.4,23.77
34.3,26.4,23.81
34.3,26.37,23.77
34.3,26.38,23.77
34.2,26.4,23.78
34.1,26.35,23.74
34.1,26.37,23.84
34,26.35,23.78
33.9,26.35,23.83
33.8,26.35,23.81
33.8,26.37,23.78
33.8,26.35,23.77
33.8,26.37,23.84
33.8,26.37,23.78
33.8,26.34,23.81
33.8,26.34,23.8
33.8,26.34,23.81
33.8,26.34,23.8
33.9,26.33,23.76
33.9,26.34,23.81
33.8,26.3,23.81
33.9,26.35,23.76
33.9,26.34,23.77
33.9,26.3,23.8
33.9,26.35,23.78
33.9,26.33,23.83
33.9,26.33,23.8
33.9,26.33,23.81
33.8,26.3,23.81
33.8,26.29,23.78
33.8,26.33,23.71
33.8,26.29,23.83
33.8,26.29,23.81
33.8,26.3,23.78
33.7,26.29,23.83
33.7,26.27,23.81
33.6,26.29,23.81
33.5,26.29,23.84
33.5,26.29,23.78
33.5,26.29,23.78
33.5,26.29,23.78
33.5,26.29,23.78
33.5,26.29,23.78
